Id,Date,Transaction
1,1/5/2022,+1250.0
2,1/12/2022,-85.5
3,1/18/2022,+75.2
4,1/25/2022,-150.75
5,1/30/2022,+300.0
6,2/3/2022,-45.8
7,2/14/2022,+200.5
8,2/20/2022,-120.25
9,2/28/2022,+95.0
10,3/5/2022,-60.3
11,3/12/2022,+180.75
12,3/19/2022,-25.9
13,3/26/2022,+450.0
14,4/2/2022,-75.4
15,4/9/2022,+125.5
16,4/16/2022,-200.0
17,4/23/2022,+350.25
18,4/30/2022,-90.75
19,5/7/2022,+275.0
20,5/14/2022,-155.5
21,5/21/2022,+80.25
22,5/28/2022,-45.0
23,6/4/2022,+500.0
24,6/11/2022,-225.75
25,6/18/2022,+175.5
26,6/25/2022,-85.25
27,7/2/2022,+320.0
28,7/9/2022,-110.5
29,7/16/2022,+190.75
30,7/23/2022,-65.25
31,7/30/2022,+280.0
32,8/6/2022,-175.5
33,8/13/2022,+225.25
34,8/20/2022,-95.0
35,8/27/2022,+410.0
36,9/3/2022,-135.75
37,9/10/2022,+160.5
38,9/17/2022,-80.25
39,9/24/2022,+375.0
40,10/1/2022,-200.5
41,10/8/2022,+290.75
42,10/15/2022,-125.0
43,10/22/2022,+180.25
44,10/29/2022,-95.75
45,11/5/2022,+450.0
46,11/12/2022,-185.5
47,11/19/2022,+240.25
48,11/26/2022,-110.0
49,12/3/2022,+380.0
50,12/10/2022,-155.75
51,12/17/2022,+195.5
52,12/24/2022,-85.25
53,12/31/2022,+520.0
54,1/7/2023,+1150.0
55,1/14/2023,-92.5
56,1/21/2023,+165.75
57,1/28/2023,-125.25
58,2/4/2023,+280.0
59,2/11/2023,-75.5
60,2/18/2023,+190.25
61,2/25/2023,-145.0
62,3/4/2023,+325.75
63,3/11/2023,-85.25
64,3/18/2023,+210.5
65,3/25/2023,-165.75
66,4/1/2023,+395.0
67,4/8/2023,-115.5
68,4/15/2023,+175.25
69,4/22/2023,-95.0
70,4/29/2023,+285.75
71,5/6/2023,-185.25
72,5/13/2023,+220.5
73,5/20/2023,-75.75
74,5/27/2023,+365.0
75,6/3/2023,-135.5
76,6/10/2023,+195.25
77,6/17/2023,-105.0
78,6/24/2023,+425.75
79,7/1/2023,-155.25
80,7/8/2023,+245.5
81,7/15/2023,-85.75
82,7/22/2023,+315.0
83,7/29/2023,-125.5
84,8/5/2023,+275.25
85,8/12/2023,-95.0
86,8/19/2023,+385.75
87,8/26/2023,-165.25
88,9/2/2023,+205.5
89,9/9/2023,-115.0
90,9/16/2023,+345.25
91,9/23/2023,-145.75
92,9/30/2023,+255.0
93,10/7/2023,-185.5
94,10/14/2023,+295.25
95,10/21/2023,-105.75
96,10/28/2023,+415.0
97,11/4/2023,-175.25
98,11/11/2023,+225.5
99,11/18/2023,-95.0
100,11/25/2023,+365.75
101,12/2/2023,-145.5
102,12/9/2023,+285.25
103,12/16/2023,-125.0
104,12/23/2023,+455.75
105,12/30/2023,-185.25
106,1/6/2024,+1200.0
107,1/13/2024,-105.5
108,1/20/2024,+175.25
109,1/27/2024,-135.75
110,2/3/2024,+295.0
111,2/10/2024,-85.25
112,2/17/2024,+205.5
113,2/24/2024,-155.0
114,3/2/2024,+345.75
115,3/9/2024,-95.5
116,3/16/2024,+225.25
117,3/23/2024,-175.75
118,3/30/2024,+385.0
119,4/6/2024,-125.25
120,4/13/2024,+265.5
121,4/20/2024,-105.0
122,4/27/2024,+315.75
123,5/4/2024,-165.5
124,5/11/2024,+235.25
125,5/18/2024,-85.75
126,5/25/2024,+395.0
127,6/1/2024,-145.25
128,6/8/2024,+275.5
129,6/15/2024,-115.0
130,6/22/2024,+425.75
131,6/29/2024,-185.25
132,7/6/2024,+255.0
133,7/13/2024,-95.5
134,7/20/2024,+335.25
135,7/27/2024,-155.75
136,8/3/2024,+285.0
137,8/10/2024,-125.25
138,8/17/2024,+375.5
139,8/24/2024,-105.0
140,8/31/2024,+445.75
141,9/7/2024,-175.5
142,9/14/2024,+215.25
143,9/21/2024,-85.75
144,9/28/2024,+365.0
145,10/5/2024,-135.25
146,10/12/2024,+295.5
147,10/19/2024,-115.0
148,10/26/2024,+415.75
149,11/2/2024,-165.25
150,11/9/2024,+245.0
151,11/16/2024,-95.5
152,11/23/2024,+355.25
153,11/30/2024,-145.75
154,12/7/2024,+325.0
155,12/14/2024,-125.25
156,12/21/2024,+485.5
157,12/28/2024,-195.0
158,1/4/2025,+1350.0
159,1/11/2025,-115.5
160,1/18/2025,+185.25
161,1/25/2025,-145.75
162,2/1/2025,+305.0
163,2/8/2025,-95.25
164,2/15/2025,+225.5
165,2/22/2025,-165.0
166,3/1/2025,+375.75
167,3/8/2025,-105.5
168,3/15/2025,+255.25
169,3/22/2025,-185.75
170,3/29/2025,+395.0
171,4/5/2025,-135.25
172,4/12/2025,+285.5
173,4/19/2025,-115.0
174,4/26/2025,+345.75
175,5/3/2025,-175.25
176,5/10/2025,+265.0
177,5/17/2025,-95.5
178,5/24/2025,+425.25
179,5/31/2025,-155.75
180,6/7/2025,+315.0
181,6/14/2025,-125.25
182,6/21/2025,+385.5
183,6/28/2025,-105.0
184,7/5/2025,+455.75
185,7/12/2025,-185.25
186,7/19/2025,+235.0
187,7/26/2025,-115.5
188,8/2/2025,+375.25
189,8/9/2025,-145.75
190,8/16/2025,+295.0
191,8/23/2025,-125.25
192,8/30/2025,+415.5
193,9/6/2025,-165.0
